# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 1.567111926e-03 3.391655894e-02 1.002379864e-03 5.647320619e-04 0.000000000e+00 0.000000000e+00
9.541091806e-02 1.025272734e-02 1.752328999e-01 6.568707040e-03 3.684020300e-03 0.000000000e+00 0.000000000e+00
1.011471476e-01 1.993731914e-02 2.086864030e-01 1.345528964e-02 6.482029492e-03 0.000000000e+00 0.000000000e+00
1.072282468e-01 3.997460122e-02 2.374414604e-01 2.924860462e-02 1.072599660e-02 0.000000000e+00 0.000000000e+00
1.136749497e-01 5.491747295e-02 2.384400257e-01 4.130516701e-02 1.361230594e-02 0.000000000e+00 0.000000000e+00
1.205092367e-01 4.790468340e-02 1.999327129e-01 3.411223174e-02 1.379245166e-02 0.000000000e+00 0.000000000e+00
1.277544101e-01 7.574992311e-02 2.297053348e-01 5.802172254e-02 1.772820057e-02 0.000000000e+00 0.000000000e+00
1.354351729e-01 9.234849078e-02 2.339296837e-01 7.244589645e-02 1.990259433e-02 0.000000000e+00 0.000000000e+00
1.435777131e-01 1.023740454e-01 2.234762247e-01 8.080677301e-02 2.156727243e-02 0.000000000e+00 0.000000000e+00
1.522097936e-01 1.156532377e-01 2.171171632e-01 9.021047964e-02 2.544275807e-02 0.000000000e+00 0.000000000e+00
1.613608460e-01 1.282863158e-01 2.094334214e-01 9.833305564e-02 2.995326018e-02 0.000000000e+00 0.000000000e+00
1.710620718e-01 1.396558166e-01 2.063934058e-01 1.053847187e-01 3.427109790e-02 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.461245476e-01 2.026849102e-01 1.106484016e-01 3.547614604e-02 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.454716145e-01 1.967213527e-01 1.105164181e-01 3.495519633e-02 0.000000000e+00 0.000000000e+00
2.038076228e-01 1.386264841e-01 1.889394541e-01 1.065771844e-01 3.204929967e-02 0.000000000e+00 0.000000000e+00
2.160608044e-01 1.380104048e-01 1.870953027e-01 1.085839099e-01 2.942649486e-02 0.000000000e+00 0.000000000e+00
2.290506634e-01 1.403247929e-01 1.788883600e-01 1.125524025e-01 2.777239036e-02 0.000000000e+00 0.000000000e+00
2.428214897e-01 1.413641339e-01 1.700370499e-01 1.156922284e-01 2.567190551e-02 0.000000000e+00 0.000000000e+00
2.574202362e-01 1.445695489e-01 1.673588361e-01 1.213347364e-01 2.323481253e-02 0.000000000e+00 0.000000000e+00
2.728966785e-01 1.471420091e-01 1.665184399e-01 1.267299876e-01 2.041202144e-02 0.000000000e+00 0.000000000e+00
2.893035848e-01 1.509695715e-01 1.675294926e-01 1.334372677e-01 1.753230377e-02 0.000000000e+00 0.000000000e+00
3.066968958e-01 1.544352798e-01 1.687815356e-01 1.393888754e-01 1.504640440e-02 0.000000000e+00 0.000000000e+00
3.251359155e-01 1.558345416e-01 1.683054010e-01 1.430281076e-01 1.280643396e-02 0.000000000e+00 0.000000000e+00
3.446835132e-01 1.591347887e-01 1.700394072e-01 1.479518613e-01 1.118292740e-02 0.000000000e+00 0.000000000e+00
3.654063382e-01 1.689458934e-01 1.788414330e-01 1.589262004e-01 1.001969298e-02 0.000000000e+00 0.000000000e+00
3.873750465e-01 2.635199677e-01 2.752216492e-01 2.519118034e-01 1.160816430e-02 0.000000000e+00 0.000000000e+00
4.106645425e-01 3.157524037e-01 3.274587277e-01 3.045656063e-01 1.118679739e-02 0.000000000e+00 0.000000000e+00
4.353542335e-01 3.103538623e-01 3.204917968e-01 3.007703200e-01 9.583542221e-03 0.000000000e+00 0.000000000e+00
4.615283011e-01 3.238607529e-01 3.331472034e-01 3.153109623e-01 8.549790683e-03 0.000000000e+00 0.000000000e+00
4.892759879e-01 3.093202672e-01 3.172900072e-01 3.021902361e-01 7.130031082e-03 0.000000000e+00 0.000000000e+00
5.186919022e-01 3.149020225e-01 3.220473847e-01 3.087087651e-01 6.193257469e-03 0.000000000e+00 0.000000000e+00
5.498763397e-01 3.182703424e-01 3.246683197e-01 3.129316013e-01 5.338741073e-03 0.000000000e+00 0.000000000e+00
5.829356266e-01 3.221032022e-01 3.279276653e-01 3.175011711e-01 4.602031086e-03 0.000000000e+00 0.000000000e+00
6.179824811e-01 3.239275646e-01 3.291893282e-01 3.198970614e-01 4.030503258e-03 0.000000000e+00 0.000000000e+00
