# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 2.309899529e-03 3.376913019e-02 1.366329180e-03 9.435703495e-04 0.000000000e+00 0.000000000e+00
9.541091806e-02 1.518799111e-02 1.760031736e-01 9.002912934e-03 6.185078175e-03 0.000000000e+00 0.000000000e+00
1.011471476e-01 2.831748217e-02 2.086540874e-01 1.773485236e-02 1.058262981e-02 0.000000000e+00 0.000000000e+00
1.072282468e-01 5.306054805e-02 2.373437843e-01 3.655747816e-02 1.650306989e-02 0.000000000e+00 0.000000000e+00
1.136749497e-01 6.907441696e-02 2.381245568e-01 4.902280780e-02 2.005160916e-02 0.000000000e+00 0.000000000e+00
1.205092367e-01 5.792154117e-02 1.988232933e-01 3.735216598e-02 2.056937518e-02 0.000000000e+00 0.000000000e+00
1.277544101e-01 8.759005425e-02 2.298522348e-01 6.257360995e-02 2.501644430e-02 0.000000000e+00 0.000000000e+00
1.354351729e-01 1.033362342e-01 2.334622882e-01 7.591489213e-02 2.742134207e-02 0.000000000e+00 0.000000000e+00
1.435777131e-01 1.100502797e-01 2.235404276e-01 8.159310208e-02 2.845717759e-02 0.000000000e+00 0.000000000e+00
1.522097936e-01 1.177432082e-01 2.176572194e-01 8.718823539e-02 3.055497279e-02 0.000000000e+00 0.000000000e+00
1.613608460e-01 1.239729963e-01 2.106441242e-01 9.128833284e-02 3.268466341e-02 0.000000000e+00 0.000000000e+00
1.710620718e-01 1.285185088e-01 2.065729308e-01 9.318960252e-02 3.532890631e-02 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.316906296e-01 2.027125367e-01 9.443570806e-02 3.725492151e-02 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.322208709e-01 1.965397744e-01 9.285620187e-02 3.936466903e-02 0.000000000e+00 0.000000000e+00
2.038076228e-01 1.293872368e-01 1.888964145e-01 8.889545032e-02 4.049178643e-02 0.000000000e+00 0.000000000e+00
2.160608044e-01 1.308020261e-01 1.867056862e-01 8.812448331e-02 4.267754279e-02 0.000000000e+00 0.000000000e+00
2.290506634e-01 1.337245022e-01 1.791079720e-01 8.850748110e-02 4.521702108e-02 0.000000000e+00 0.000000000e+00
2.428214897e-01 1.333362895e-01 1.704807910e-01 8.725728220e-02 4.607900726e-02 0.000000000e+00 0.000000000e+00
