# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 1.080070856e-03 3.396072499e-02 9.484565275e-04 1.316143281e-04 0.000000000e+00 0.000000000e+00
9.541091806e-02 5.831871046e-03 1.754125443e-01 5.060707187e-03 7.711638587e-04 0.000000000e+00 0.000000000e+00
1.011471476e-01 7.845090223e-03 2.091782253e-01 6.691077380e-03 1.154012842e-03 0.000000000e+00 0.000000000e+00
1.072282468e-01 1.044530651e-02 2.377374000e-01 8.713243478e-03 1.732063027e-03 0.000000000e+00 0.000000000e+00
1.136749497e-01 1.190073033e-02 2.381924275e-01 9.727348031e-03 2.173382300e-03 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.126873892e-02 1.991878318e-01 9.152666542e-03 2.116072378e-03 0.000000000e+00 0.000000000e+00
1.277544101e-01 1.444534302e-02 2.294850179e-01 1.149040897e-02 2.954934055e-03 0.000000000e+00 0.000000000e+00
1.354351729e-01 1.622504381e-02 2.332244888e-01 1.266579272e-02 3.559251091e-03 0.000000000e+00 0.000000000e+00
1.435777131e-01 1.805707713e-02 2.241458373e-01 1.368303874e-02 4.374038392e-03 0.000000000e+00 0.000000000e+00
1.522097936e-01 2.093799635e-02 2.167248189e-01 1.491561795e-02 6.022378391e-03 0.000000000e+00 0.000000000e+00
1.613608460e-01 2.549250587e-02 2.107865822e-01 1.663020798e-02 8.862297885e-03 0.000000000e+00 0.000000000e+00
1.710620718e-01 3.033719435e-02 2.071097716e-01 1.813564283e-02 1.220155152e-02 0.000000000e+00 0.000000000e+00
1.813465479e-01 3.444088871e-02 2.029480651e-01 1.929526793e-02 1.514562078e-02 0.000000000e+00 0.000000000e+00
1.922493402e-01 3.464520990e-02 1.967349537e-01 1.901556874e-02 1.562964116e-02 0.000000000e+00 0.000000000e+00
2.038076228e-01 3.163510782e-02 1.895950469e-01 1.787100112e-02 1.376410670e-02 0.000000000e+00 0.000000000e+00
2.160608044e-01 3.212876160e-02 1.867252004e-01 1.850334762e-02 1.362541399e-02 0.000000000e+00 0.000000000e+00
2.290506634e-01 3.682270830e-02 1.790365286e-01 2.062408538e-02 1.619862293e-02 0.000000000e+00 0.000000000e+00
2.428214897e-01 4.331267009e-02 1.700181729e-01 2.290114517e-02 2.041152492e-02 0.000000000e+00 0.000000000e+00
2.574202362e-01 4.999617971e-02 1.668068985e-01 2.565476648e-02 2.434141323e-02 0.000000000e+00 0.000000000e+00
2.728966785e-01 5.543778065e-02 1.667769312e-01 2.880559049e-02 2.663219016e-02 0.000000000e+00 0.000000000e+00
2.893035848e-01 6.056734809e-02 1.668418305e-01 3.257431859e-02 2.799302949e-02 0.000000000e+00 0.000000000e+00
3.066968958e-01 6.602084514e-02 1.691646051e-01 3.652405900e-02 2.949678614e-02 0.000000000e+00 0.000000000e+00
3.251359155e-01 7.033655913e-02 1.682166112e-01 4.019926170e-02 3.013729743e-02 0.000000000e+00 0.000000000e+00
3.446835132e-01 7.476224319e-02 1.695159869e-01 4.366922659e-02 3.109301660e-02 0.000000000e+00 0.000000000e+00
3.654063382e-01 8.357679321e-02 1.801093022e-01 5.040524083e-02 3.317155238e-02 0.000000000e+00 0.000000000e+00
3.873750465e-01 1.334686993e-01 2.744013817e-01 8.349090266e-02 4.997779660e-02 0.000000000e+00 0.000000000e+00
4.106645425e-01 1.675534028e-01 3.286543191e-01 1.085517338e-01 5.900166900e-02 0.000000000e+00 0.000000000e+00
4.353542335e-01 1.720532505e-01 3.193222055e-01 1.149480143e-01 5.710523616e-02 0.000000000e+00 0.000000000e+00
4.615283011e-01 1.872453471e-01 3.338417881e-01 1.281986517e-01 5.904669542e-02 0.000000000e+00 0.000000000e+00
4.892759879e-01 1.854897975e-01 3.167920470e-01 1.306635225e-01 5.482627506e-02 0.000000000e+00 0.000000000e+00
5.186919022e-01 1.959361657e-01 3.214778536e-01 1.422218142e-01 5.371435157e-02 0.000000000e+00 0.000000000e+00
5.498763397e-01 2.050357758e-01 3.237341395e-01 1.531172550e-01 5.191852076e-02 0.000000000e+00 0.000000000e+00
5.829356266e-01 2.126051295e-01 3.251157084e-01 1.632908891e-01 4.931424039e-02 0.000000000e+00 0.000000000e+00
6.179824811e-01 2.203582505e-01 3.270762279e-01 1.733304505e-01 4.702780002e-02 0.000000000e+00 0.000000000e+00
6.551363985e-01 2.251743836e-01 3.245320010e-01 1.810005913e-01 4.417379236e-02 0.000000000e+00 0.000000000e+00
6.945240582e-01 2.368039998e-01 3.314859779e-01 1.948643579e-01 4.193964197e-02 0.000000000e+00 0.000000000e+00
7.362797556e-01 2.411818158e-01 3.298161898e-01 2.028867842e-01 3.829503160e-02 0.000000000e+00 0.000000000e+00
7.805458603e-01 2.454852418e-01 3.270641158e-01 2.102690694e-01 3.521617244e-02 0.000000000e+00 0.000000000e+00
8.274733014e-01 2.476403778e-01 3.239185442e-01 2.157856649e-01 3.185471293e-02 0.000000000e+00 0.000000000e+00
8.772220817e-01 2.562321141e-01 3.278952565e-01 2.264596425e-01 2.977247167e-02 0.000000000e+00 0.000000000e+00
9.299618239e-01 2.590911583e-01 3.256697560e-01 2.324567645e-01 2.663439384e-02 0.000000000e+00 0.000000000e+00
9.858723487e-01 2.604995124e-01 3.210372604e-01 2.367095271e-01 2.378998526e-02 2.421326386e-121 2.541081981e-122
1.045144288e+00 2.542620868e-01 3.087602532e-01 2.340691039e-01 2.019298296e-02 3.264002110e-115 3.374724656e-116
1.107979733e+00 2.441046464e-01 2.922130648e-01 2.271463609e-01 1.695828548e-02 3.126915264e-108 2.376773869e-109
1.174592928e+00 2.397977591e-01 2.830173461e-01 2.247859442e-01 1.501181493e-02 4.135256009e-101 6.459510593e-102
1.245210996e+00 2.324737066e-01 2.708150474e-01 2.198614297e-01 1.261227688e-02 1.951908672e-95 6.905748316e-97
1.320074714e+00 2.337682681e-01 2.691544482e-01 2.227869256e-01 1.098134257e-02 1.806883126e-89 6.278530321e-91
1.399439338e+00 2.330091718e-01 2.655655769e-01 2.236137778e-01 9.395393924e-03 1.684743325e-84 2.796586878e-86
1.483575466e+00 2.315412822e-01 2.615434326e-01 2.235399270e-01 8.001355190e-03 2.603444327e-79 7.953799451e-81
1.572769969e+00 2.360920018e-01 2.641530951e-01 2.290555967e-01 7.036405069e-03 1.340792322e-74 2.823362689e-76
1.667326963e+00 2.355707265e-01 2.616016226e-01 2.294976784e-01 6.073048082e-03 6.910827027e-70 1.619530852e-71
1.767568847e+00 2.245235946e-01 2.477677728e-01 2.195757314e-01 4.947863256e-03 1.477239860e-66 3.570514706e-68
1.873837405e+00 2.127150914e-01 2.329401735e-01 2.087719625e-01 3.943128918e-03 2.797299155e-62 5.939279141e-64
