# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 2.140717806e-03 3.385154773e-02 1.791995199e-03 3.487226073e-04 0.000000000e+00 0.000000000e+00
9.541091806e-02 1.205225675e-02 1.750872728e-01 9.985740954e-03 2.066515792e-03 0.000000000e+00 0.000000000e+00
1.011471476e-01 1.651349419e-02 2.091741667e-01 1.323439544e-02 3.279098748e-03 0.000000000e+00 0.000000000e+00
1.072282468e-01 2.201844977e-02 2.379931119e-01 1.717586370e-02 4.842586077e-03 0.000000000e+00 0.000000000e+00
1.136749497e-01 2.458706882e-02 2.380351049e-01 1.865068906e-02 5.936379759e-03 0.000000000e+00 0.000000000e+00
1.205092367e-01 2.319455922e-02 2.000766240e-01 1.733833538e-02 5.856223837e-03 0.000000000e+00 0.000000000e+00
1.277544101e-01 2.920368630e-02 2.305580885e-01 2.117785810e-02 8.025828199e-03 0.000000000e+00 0.000000000e+00
1.354351729e-01 3.188784858e-02 2.333411036e-01 2.263016827e-02 9.257680314e-03 0.000000000e+00 0.000000000e+00
1.435777131e-01 3.380841504e-02 2.238938862e-01 2.316677158e-02 1.064164345e-02 0.000000000e+00 0.000000000e+00
1.522097936e-01 3.675404734e-02 2.169875247e-01 2.429224218e-02 1.246180516e-02 0.000000000e+00 0.000000000e+00
1.613608460e-01 4.023571957e-02 2.098274600e-01 2.535095199e-02 1.488476757e-02 0.000000000e+00 0.000000000e+00
1.710620718e-01 4.257762865e-02 2.062548425e-01 2.574450760e-02 1.683312105e-02 0.000000000e+00 0.000000000e+00
1.813465479e-01 4.451082744e-02 2.039888890e-01 2.532151460e-02 1.918931284e-02 0.000000000e+00 0.000000000e+00
1.922493402e-01 4.477064347e-02 1.962006250e-01 2.392955539e-02 2.084108807e-02 0.000000000e+00 0.000000000e+00
2.038076228e-01 4.298616907e-02 1.887387814e-01 2.184678619e-02 2.113938288e-02 0.000000000e+00 0.000000000e+00
2.160608044e-01 4.436499093e-02 1.861401749e-01 2.124977463e-02 2.311521630e-02 0.000000000e+00 0.000000000e+00
2.290506634e-01 4.843456353e-02 1.781555790e-01 2.116615101e-02 2.726841251e-02 0.000000000e+00 0.000000000e+00
2.428214897e-01 5.188502774e-02 1.708158169e-01 2.080215467e-02 3.108287307e-02 0.000000000e+00 0.000000000e+00
2.574202362e-01 5.430801362e-02 1.676346661e-01 2.089709797e-02 3.341091564e-02 0.000000000e+00 0.000000000e+00
2.728966785e-01 5.703585057e-02 1.663967888e-01 2.080679749e-02 3.622905308e-02 0.000000000e+00 0.000000000e+00
2.893035848e-01 5.847870583e-02 1.664208309e-01 2.107309596e-02 3.740560988e-02 0.000000000e+00 0.000000000e+00
3.066968958e-01 6.182306148e-02 1.680961553e-01 2.175706967e-02 4.006599181e-02 0.000000000e+00 0.000000000e+00
3.251359155e-01 6.336181798e-02 1.681628327e-01 2.150158952e-02 4.186022846e-02 0.000000000e+00 0.000000000e+00
3.446835132e-01 6.476515414e-02 1.694965813e-01 2.166219665e-02 4.310295750e-02 0.000000000e+00 0.000000000e+00
3.654063382e-01 7.031600604e-02 1.785478594e-01 2.288312460e-02 4.743288144e-02 0.000000000e+00 0.000000000e+00
3.873750465e-01 1.104926796e-01 2.735288143e-01 3.585520902e-02 7.463747056e-02 0.000000000e+00 0.000000000e+00
4.106645425e-01 1.368862799e-01 3.297066293e-01 4.449548391e-02 9.239079595e-02 0.000000000e+00 0.000000000e+00
4.353542335e-01 1.392160991e-01 3.209495882e-01 4.487059909e-02 9.434549996e-02 0.000000000e+00 0.000000000e+00
4.615283011e-01 1.471043667e-01 3.345555773e-01 4.658642787e-02 1.005179388e-01 0.000000000e+00 0.000000000e+00
4.892759879e-01 1.428616062e-01 3.169205765e-01 4.570220157e-02 9.715940467e-02 0.000000000e+00 0.000000000e+00
5.186919022e-01 1.489819984e-01 3.221772559e-01 4.863847001e-02 1.003435284e-01 0.000000000e+00 0.000000000e+00
5.498763397e-01 1.549675011e-01 3.239100673e-01 5.131332549e-02 1.036541756e-01 0.000000000e+00 0.000000000e+00
5.829356266e-01 1.628437969e-01 3.272057958e-01 5.436544044e-02 1.084783565e-01 0.000000000e+00 0.000000000e+00
6.179824811e-01 1.664810344e-01 3.275292406e-01 5.687984853e-02 1.096011859e-01 0.000000000e+00 0.000000000e+00
6.551363985e-01 1.707927152e-01 3.248649486e-01 5.867365360e-02 1.121190616e-01 0.000000000e+00 0.000000000e+00
6.945240582e-01 1.797530561e-01 3.328219153e-01 6.396087188e-02 1.157921842e-01 0.000000000e+00 0.000000000e+00
7.362797556e-01 1.837398216e-01 3.293763594e-01 6.882335962e-02 1.149164620e-01 0.000000000e+00 0.000000000e+00
7.805458603e-01 1.891307892e-01 3.282864860e-01 7.233194764e-02 1.167988416e-01 0.000000000e+00 0.000000000e+00
8.274733014e-01 1.934222297e-01 3.247985154e-01 7.650904194e-02 1.169131878e-01 0.000000000e+00 0.000000000e+00
8.772220817e-01 1.983066567e-01 3.262199284e-01 8.157175692e-02 1.167348998e-01 0.000000000e+00 0.000000000e+00
9.299618239e-01 2.038758275e-01 3.277899832e-01 8.842742545e-02 1.154484020e-01 0.000000000e+00 0.000000000e+00
9.858723487e-01 2.059474976e-01 3.199157400e-01 9.378100538e-02 1.121664922e-01 2.465423385e-111 8.452933948e-111
1.045144288e+00 2.056949728e-01 3.089234394e-01 9.975614258e-02 1.059388302e-01 9.458729499e-106 1.897463060e-105
1.107979733e+00 1.990211311e-01 2.916992116e-01 1.012450444e-01 9.777608672e-02 5.094181609e-99 1.229214531e-98
1.174592928e+00 1.954571761e-01 2.805854668e-01 1.036872589e-01 9.176991726e-02 9.688114651e-93 2.010884857e-92
1.245210996e+00 1.943377365e-01 2.736579300e-01 1.082130693e-01 8.612466713e-02 1.788008453e-87 2.519025490e-87
1.320074714e+00 1.945675452e-01 2.674816435e-01 1.147343822e-01 7.983316302e-02 2.370444351e-82 3.208416934e-82
1.399439338e+00 1.958775874e-01 2.629484135e-01 1.222715870e-01 7.360600037e-02 1.183025153e-77 8.554834962e-78
1.483575466e+00 1.975598816e-01 2.595579215e-01 1.299591985e-01 6.760068316e-02 6.719041452e-73 4.580692955e-73
1.572769969e+00 2.040696108e-01 2.633559347e-01 1.402145832e-01 6.385502760e-02 1.422920364e-68 8.304385419e-69
1.667326963e+00 2.055714950e-01 2.610532200e-01 1.472814597e-01 5.829003531e-02 4.082125636e-64 3.696824227e-64
1.767568847e+00 1.999122246e-01 2.500580771e-01 1.492927747e-01 5.061944993e-02 8.858896497e-61 6.207960787e-61
1.873837405e+00 1.857074116e-01 2.291095386e-01 1.441321037e-01 4.157530788e-02 5.109462962e-57 2.739404984e-57
1.986494968e+00 1.786337864e-01 2.162725948e-01 1.435119000e-01 3.512188641e-02 2.265783705e-53 5.934009912e-54
2.105925651e+00 1.673597138e-01 1.999077252e-01 1.389002342e-01 2.845947967e-02 2.998895811e-50 6.606982602e-51
2.232536664e+00 1.543816331e-01 1.822900059e-01 1.315498779e-01 2.283175523e-02 3.777727144e-47 7.246524597e-48
2.366759696e+00 1.405989041e-01 1.641619122e-01 1.228320518e-01 1.776685239e-02 2.930138300e-44 4.829604167e-45
2.509052394e+00 1.205858968e-01 1.390191736e-01 1.075597434e-01 1.302615344e-02 1.434658726e-41 1.982047537e-42
2.659899915e+00 1.230321399e-01 1.401599412e-01 1.117922539e-01 1.123988594e-02 5.526784037e-39 6.108576626e-40
2.819816587e+00 1.194369384e-01 1.348717053e-01 1.103384864e-01 9.098451992e-03 1.897434181e-36 1.740526772e-37
2.989347660e+00 1.020032847e-01 1.140683874e-01 9.550856974e-02 6.494715003e-03 3.785725731e-34 2.713680204e-35
3.169071162e+00 9.233833199e-02 1.024983114e-01 8.746229834e-02 4.876033650e-03 4.962555845e-32 3.151082569e-33
3.359599877e+00 8.963703715e-02 9.878515106e-02 8.577003234e-02 3.867004809e-03 5.804323462e-30 2.884409035e-31
3.561583429e+00 8.660140406e-02 9.483302155e-02 8.355304992e-02 3.048354139e-03 5.051693043e-28 2.054723053e-29
3.775710497e+00 7.234708346e-02 7.870689687e-02 7.027143958e-02 2.075643880e-03 3.097706316e-26 9.958189858e-28
4.002711165e+00 6.783787970e-02 7.326058746e-02 6.625820049e-02 1.579679213e-03 1.663107731e-24 4.262566065e-26
4.243359411e+00 6.510995563e-02 6.999641554e-02 6.390815150e-02 1.201804129e-03 6.883986393e-23 1.426355975e-24
4.498475745e+00 5.460306623e-02 5.840766664e-02 5.379367853e-02 8.093877062e-04 2.270366026e-21 3.766194745e-23
4.768930007e+00 4.869692954e-02 5.183519060e-02 4.812117690e-02 5.757526357e-04 5.811697149e-20 7.411549831e-22
5.055644335e+00 4.408450858e-02 4.677222709e-02 4.367608133e-02 4.084272519e-04 1.346335696e-18 1.357514438e-20
5.359596304e+00 4.076237638e-02 4.309185749e-02 4.047062218e-02 2.917542047e-04 2.371811231e-17 1.837969099e-19
5.681822265e+00 3.779605766e-02 3.986011851e-02 3.758340582e-02 2.126518370e-04 3.803188459e-16 2.284738722e-18
6.023420872e+00 3.512715049e-02 3.698209620e-02 3.497655805e-02 1.505924367e-04 5.163298363e-15 2.401660399e-17
6.385556837e+00 3.138703412e-02 3.301863839e-02 3.128410938e-02 1.029247488e-04 5.631454119e-14 1.970356123e-16
6.769464890e+00 2.810747877e-02 2.950627256e-02 2.803857294e-02 6.890582969e-05 5.757738091e-13 1.487112268e-15
7.176453999e+00 2.554718083e-02 2.684351208e-02 2.550215989e-02 4.502093753e-05 4.759019190e-12 8.887789974e-15
7.607911827e+00 2.259441326e-02 2.413733858e-02 2.256695874e-02 2.745448293e-05 3.654177360e-11 4.692166997e-14
8.065309466e+00 1.895217443e-02 2.151038894e-02 1.893534625e-02 1.682793932e-05 2.402400804e-10 2.333410711e-13
8.550206451e+00 1.554256518e-02 1.956529262e-02 1.552944928e-02 1.311444586e-05 1.458172131e-09 1.376955122e-12
9.064256079e+00 1.311725196e-02 1.828780842e-02 1.310477572e-02 1.246772198e-05 8.505475270e-09 9.297780929e-12
9.609211044e+00 1.118738538e-02 1.644843503e-02 1.117468417e-02 1.265474392e-05 4.640902280e-08 5.836086312e-11
1.018692942e+01 1.035065289e-02 1.462465606e-02 1.033909578e-02 1.131596259e-05 2.408653247e-07 2.879157587e-10
1.079938098e+01 9.506028102e-03 1.265027145e-02 9.495788123e-03 9.205167712e-06 1.033743494e-06 1.067436897e-09
1.144865393e+01 8.953374354e-03 1.115029814e-02 8.942212066e-03 7.005313971e-06 4.153527456e-06 3.445837475e-09
1.213696202e+01 8.213198631e-03 9.724264672e-03 8.193075585e-03 4.989426705e-06 1.512394590e-05 9.673201722e-09
1.286665210e+01 7.382067330e-03 8.350949176e-03 7.330113352e-03 3.323674309e-06 4.860742600e-05 2.287734558e-08
1.364021210e+01 6.789307531e-03 7.357545075e-03 6.636087699e-03 2.094075389e-06 1.510762790e-04 4.947773550e-08
1.446027954e+01 6.226217810e-03 6.349074997e-03 5.760593020e-03 1.234518824e-06 4.642872282e-04 1.030431409e-07
1.532965052e+01 6.399787831e-03 5.526670259e-03 4.965955884e-03 7.486788778e-07 1.432855852e-03 2.274163102e-07
1.625128922e+01 8.724118496e-03 4.871387431e-03 4.296095132e-03 5.049898560e-07 4.426976156e-03 5.422185301e-07
1.722833804e+01 1.625247181e-02 4.157902405e-03 3.608525184e-03 3.611121001e-07 1.264226146e-02 1.324057741e-06
1.826412832e+01 3.580783437e-02 3.652107284e-03 3.146080984e-03 2.804002291e-07 3.265840497e-02 3.068009929e-06
1.936219168e+01 7.780497713e-02 3.171836911e-03 2.752363550e-03 2.107434867e-07 7.504631917e-02 6.083668437e-06
2.052627204e+01 1.619042861e-01 2.820403581e-03 2.482890262e-03 1.466679175e-07 1.594117935e-01 9.455692452e-06
2.176033844e+01 3.131268152e-01 2.496306596e-03 2.233346113e-03 8.742115200e-08 3.108815920e-01 1.178971074e-05
2.306859853e+01 5.939298972e-01 2.203288362e-03 1.997928001e-03 4.093829568e-08 5.919206352e-01 1.129303341e-05
2.445551294e+01 1.062000774e+00 1.976807275e-03 1.810910480e-03 1.367365716e-08 1.060183611e+00 6.239091419e-06
2.592581045e+01 1.845252519e+00 1.765747621e-03 1.633023858e-03 1.951398732e-09 1.843618260e+00 1.233114710e-06
2.748450419e+01 3.057930614e+00 1.554597143e-03 1.450402124e-03 4.178630429e-11 3.056480160e+00 5.246458320e-08
2.913690863e+01 4.821491296e+00 1.387216593e-03 1.303318184e-03 0.000000000e+00 4.820187978e+00 0.000000000e+00
3.088865780e+01 7.317706232e+00 1.224783873e-03 1.158649395e-03 0.000000000e+00 7.316547582e+00 0.000000000e+00
3.274572442e+01 1.089419964e+01 1.099116463e-03 1.045865705e-03 0.000000000e+00 1.089315377e+01 0.000000000e+00
3.471444033e+01 1.540892640e+01 9.784153080e-04 9.359684165e-04 0.000000000e+00 1.540799043e+01 0.000000000e+00
3.680151802e+01 2.123452948e+01 8.783772312e-04 8.435829156e-04 0.000000000e+00 2.123368590e+01 0.000000000e+00
3.901407356e+01 2.827322852e+01 7.733345454e-04 7.460472799e-04 0.000000000e+00 2.827248248e+01 0.000000000e+00
4.135965084e+01 3.611912155e+01 6.955801724e-04 6.734448112e-04 0.000000000e+00 3.611844810e+01 0.000000000e+00
